filename,code,panel_type,is_horizontal,axis_range,floor,fill_color,center_x,center_y,top_y,min_x,max_x,min_y,max_y,width,height,path_d
Zone01,Zone01_GFRC_V22,Vertical,False,8-7,3rd FLOOR,#98FB98,1807.2897,1098.401715,976.83203,1766.3466,1848.2328,976.83203,1219.9714,81.88619999999992,243.13936999999987,"M1848.2328,976.83203 L1766.3466,976.83203 L1766.3466,1219.9714 L1848.2328,1219.9714 z"
Zone01,Zone01_GFRC_V23,Vertical,False,8-7,3rd FLOOR,#98FB98,1971.31435,1098.401715,976.83203,1931.1271,2011.5016,976.83203,1219.9714,80.37450000000013,243.13936999999987,"M2011.5016,976.83203 L1931.1271,976.83203 L1931.1271,1219.9714 L2011.5016,1219.9714 z"
Zone01,Zone01_GFRC_V24,Vertical,False,8-7,3rd FLOOR,#98FB98,2053.70455,1098.401715,976.83203,2012.7614,2094.6477,976.83203,1219.9714,81.88629999999989,243.13936999999987,"M2012.7614,1219.9714 L2094.6477,1219.9714 L2094.6477,976.83203 L2012.7614,976.83203 z"
Zone01,Zone01_GFRC_H25,Horizontal,True,9-8,2nd FLOOR,#87CEEB,1439.55725,1262.17425,1221.2311,1317.3577,1561.7568,1221.2311,1303.1174,244.3991000000001,81.88630000000012,"M1561.7568,1221.2311 L1317.3577,1221.2311 L1317.3577,1303.1174 L1561.7568,1303.1174 z"
Zone01,Zone01_GFRC_H26,Horizontal,True,8-7,2nd FLOOR,#87CEEB,1685.21615,1262.17425,1221.2311,1563.0165,1807.4158,1221.2311,1303.1174,244.39930000000004,81.88630000000012,"M1807.4158,1221.2311 L1563.0165,1221.2311 L1563.0165,1303.1174 L1807.4158,1303.1174 z"
Zone01,Zone01_GFRC_H27,Horizontal,True,7-8,2nd FLOOR,#87CEEB,2176.53395,1262.17425,1221.2311,2054.3345,2298.7334,1221.2311,1303.1174,244.39890000000014,81.88630000000012,"M2298.7334,1221.2311 L2054.3345,1221.2311 L2054.3345,1303.1174 L2298.7334,1303.1174 z"
Zone01,Zone01_GFRC_H28,Horizontal,True,8-7,2nd FLOOR,#87CEEB,1930.87505,1262.17425,1221.2311,1808.6754,2053.0747,1221.2311,1303.1174,244.39930000000004,81.88630000000012,"M2053.0747,1221.2311 L1808.6754,1221.2311 L1808.6754,1303.1174 L2053.0747,1303.1174 z"
Zone01,Zone01_GFRC_H29,Horizontal,True,7-8,2nd FLOOR,#87CEEB,2392.5879,1262.17425,1221.2311,2299.9934,2485.1824,1221.2311,1303.1174,185.1890000000003,81.88630000000012,"M2485.1824,1221.2311 L2299.9934,1221.2311 L2299.9934,1303.1174 L2485.1824,1303.1174 z"
Zone01,Zone01_GFRC_H30,Horizontal,True,10-9,2nd FLOOR,#87CEEB,948.2394300000001,1262.17425,1221.2311,826.03986,1070.439,1221.2311,1303.1174,244.3991400000001,81.88630000000012,"M1070.439,1221.2311 L826.03986,1221.2311 L826.03986,1303.1174 L1070.439,1303.1174 z"
Zone01,Zone01_GFRC_H31,Horizontal,True,10-9,2nd FLOOR,#87CEEB,732.18553,1262.17425,1221.2311,639.59106,824.78,1221.2311,1303.1174,185.18894,81.88630000000012,"M639.59106,1221.2311 L824.78,1221.2311 L824.78,1303.1174 L639.59106,1303.1174 z"
Zone01,Zone01_GFRC_H32,Horizontal,True,9-8,2nd FLOOR,#87CEEB,1193.8982999999998,1262.17425,1221.2311,1071.6987,1316.0979,1221.2311,1303.1174,244.39920000000006,81.88630000000012,"M1316.0979,1221.2311 L1071.6987,1221.2311 L1071.6987,1303.1174 L1316.0979,1303.1174 z"
Zone01,Zone01_GFRC_V25,Vertical,False,9-8,2nd FLOOR,#98FB98,1235.0934499999998,1425.9468499999998,1304.3772,1194.9061,1275.2808,1304.3772,1547.5165,80.37470000000008,243.13930000000005,"M1194.9061,1547.5165 L1275.2808,1547.5165 L1275.2808,1304.3772 L1194.9061,1304.3772 z"
Zone01,Zone01_GFRC_V26,Vertical,False,8-7,2nd FLOOR,#98FB98,1889.67995,1425.9468499999998,1304.3772,1849.4927,1929.8672,1304.3772,1547.5165,80.3744999999999,243.13930000000005,"M1929.8672,1547.5165 L1849.4927,1547.5165 L1849.4927,1304.3772 L1929.8672,1304.3772 z"
Zone01,Zone01_GFRC_V27,Vertical,False,8-7,2nd FLOOR,#98FB98,2053.70455,1425.9468499999998,1304.3772,2012.7614,2094.6477,1304.3772,1547.5165,81.88629999999989,243.13930000000005,"M2012.7614,1547.5165 L2094.6477,1547.5165 L2094.6477,1304.3772 L2012.7614,1304.3772 z"
