element_id,svg_file_name,zone_name,element_type,axis_span,floor_level,panel_orientation,x_coord,y_coord,path_d_for_debug
657f428b73b78717,Zone02.svg,Z02,GLASS,E-D,4th FLOOR,Horizontal,1324.30915,631.0107499999999,"M1292.8372,644.4847 L1355.7811,644.4847 L1355.7811,617.5368 L1292.8372,617.5368 z"
dd938f8cef6ff7bc,Zone02.svg,Z02,GLASS,E-D,4th FLOOR,Square/Other,1372.2547,631.0107499999999,"M1356.7646,617.5368 L1387.7448,617.5368 L1387.7448,644.4847 L1356.7646,644.4847 z"
78eec49da9fee3c7,Zone02.svg,Z02,GLASS,E-D,4th FLOOR,Square/Other,1531.21245,631.0107499999999,"M1516.583,644.4847 L1545.8419,644.4847 L1545.8419,617.5368 L1516.583,617.5368 z"
4d5c6f84dd22ef42,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Horizontal,2411.9344499999997,631.0107499999999,"M2381.3232,617.5368 L2442.5457,617.5368 L2442.5457,644.4847 L2381.3232,644.4847 z"
4e6e4eb3d0af1e8c,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Square/Other,2522.6817499999997,631.0107499999999,"M2507.4568,644.4847 L2537.9067,644.4847 L2537.9067,617.5368 L2507.4568,617.5368 z"
36bdfa319933a14b,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Horizontal,2475.00135,631.0107499999999,"M2443.5293,617.5368 L2443.5293,644.4847 L2506.4734,644.4847 L2506.4734,617.5368 z"
18ab0c08d214c83c,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Square/Other,1147.6484,631.0107499999999,"M1133.0188,644.4847 L1162.278,644.4847 L1162.278,617.5368 L1133.0188,617.5368 z"
4220fbe59b479615,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Horizontal,940.74512,631.0107499999999,"M909.2732,644.4847 L972.21704,644.4847 L972.21704,617.5368 L909.2732,617.5368 z"
ccc4f0ecf884c5a9,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Horizontal,1036.6361,631.0107499999999,"M1005.1642,644.4847 L1068.108,644.4847 L1068.108,617.5368 L1005.1642,617.5368 z"
271523ab9da913dc,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Horizontal,1100.5635,631.0107499999999,"M1069.0916,644.4847 L1132.0354,644.4847 L1132.0354,617.5368 L1069.0916,617.5368 z"
cbec9dbcd1a4cd43,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Horizontal,878.9077,631.0107499999999,"M849.5257,644.4847 L908.2897,644.4847 L908.2897,617.5368 L849.5257,617.5368 z"
e5762e012d0cfd7d,Zone02.svg,Z02,GLASS,F-E,4th FLOOR,Square/Other,988.6906,631.0107499999999,"M973.2005,644.4847 L1004.1807,644.4847 L1004.1807,617.5368 L973.2005,617.5368 z"
cf4ccfc1ff2251c5,Zone02.svg,Z02,GLASS,E-D,4th FLOOR,Horizontal,1420.2001500000001,631.0107499999999,"M1388.7283,644.4847 L1451.672,644.4847 L1451.672,617.5368 L1388.7283,617.5368 z"
439bed36ea217507,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Square/Other,2715.39675,631.0107499999999,"M2700.2588,644.4847 L2730.5347,644.4847 L2730.5347,617.5368 L2700.2588,617.5368 z"
7420ce80eba8273c,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Square/Other,2298.3405,631.0107499999999,"M2283.711,644.4847 L2312.97,644.4847 L2312.97,617.5368 L2283.711,617.5368 z"
3bdcdd43b43c6cc4,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Horizontal,2251.2556,631.0107499999999,"M2219.7837,644.4847 L2282.7275,644.4847 L2282.7275,617.5368 L2219.7837,617.5368 z"
751dfc179e1713c2,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Horizontal,2187.3282,631.0107499999999,"M2155.8564,644.4847 L2218.8,644.4847 L2218.8,617.5368 L2155.8564,617.5368 z"
75f0b3e671e9c435,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Square/Other,2139.3828000000003,631.0107499999999,"M2123.8928,644.4847 L2154.8728,644.4847 L2154.8728,617.5368 L2123.8928,617.5368 z"
f112ac7d84e60bc8,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Horizontal,2091.43725,631.0107499999999,"M2059.9653,644.4847 L2122.9092,644.4847 L2122.9092,617.5368 L2059.9653,617.5368 z"
a17ecac8fa22d350,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Horizontal,2028.37045,631.0107499999999,"M1997.7592,644.4847 L2058.9817,644.4847 L2058.9817,617.5368 L1997.7592,617.5368 z"
505fd24490ecbf57,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Vertical,2298.3405,745.981625,"M2283.711,776.3717 L2312.97,776.3717 L2312.97,715.59155 L2283.711,715.59155 z"
0eec29f2caade0ba,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Square/Other,2251.2556,745.981625,"M2219.7837,776.3717 L2282.7275,776.3717 L2282.7275,715.59155 L2219.7837,715.59155 z"
4774e61068629c38,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Square/Other,2187.3282,745.981625,"M2155.8564,776.3717 L2218.8,776.3717 L2218.8,715.59155 L2155.8564,715.59155 z"
2b60ca3479343015,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Vertical,2139.3828000000003,745.981625,"M2123.8928,776.3717 L2154.8728,776.3717 L2154.8728,715.59155 L2123.8928,715.59155 z"
414fbdbe09c6b359,Zone02.svg,Z02,GLASS,C-B,4th FLOOR,Square/Other,2091.43725,745.981625,"M2059.9653,776.3717 L2122.9092,776.3717 L2122.9092,715.59155 L2059.9653,715.59155 z"
1b9e80dd288b2e3a,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Vertical,2522.6817499999997,745.981625,"M2507.4568,776.3717 L2537.9067,776.3717 L2537.9067,715.59155 L2507.4568,715.59155 z"
862200083bd61fe0,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Square/Other,2411.9344499999997,745.981625,"M2442.5457,715.59155 L2381.3232,715.59155 L2381.3232,776.3717 L2442.5457,776.3717 z"
30f86d13c4ad271f,Zone02.svg,Z02,GLASS,B-A,4th FLOOR,Square/Other,2475.00135,745.981625,"M2443.5293,776.3717 L2506.4734,776.3717 L2506.4734,715.59155 L2443.5293,715.59155 z"
